"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
184,"LSISoft","2586.00","1742.00","0.14","0.10","4450.00","technology and engineering",0,"high"
185,"Lubawa","11620.00","-119160.00","0.23","0.15","16181.00","chemicals and health products",0,"high"
186,"M.W. Trade","-752.00","1430.00","-0.13","-0.12","-800.00","financial and insurance",0,"low"
187,"Mabion","-15255.00","-14760.00","-0.32","-0.22","-11681.00","chemicals and health products",0,"low"
188,"Magna Polonia","599.00","586.00","0.01","0.01","677.00","financial and insurance",0,"high"
189,"Makarony Polskie","7622.00","-3372.00","0.19","0.13","13098.00","agriculture and food industry",0,"high"
190,"Mangata","7881.00","2509.00","0.04","0.02","23603.00","manufacturing industry",0,"high"
191,"Manydev","-132.00","-56.00",NULL,"-3.34","-49.00","technology and engineering",0,"low"
192,"MBWS","9645.00","10927.00","0.05","0.03","14393.00","agriculture and food industry",1,"low"
193,"Marvipol","22492.00","-24988.00","3.20","1.51","44760.00","real estate and construction",1,"middle"
194,"Maxcom","-1968.00","-527.00","-0.07","-0.04","-1603.00","technology and engineering",0,"low"
195,"MBank","1665061.00","-15872341.00","8.50","0.65","3122738.00","financial and insurance",1,"middle"
196,"MCI Capital","34455.00","-7552.00","1.70","1.40","52441.00","financial and insurance",1,"low"
197,"MDIEnergia","169.00","-1916.00","-0.20","-0.04","343.00","real estate and construction",0,"low"
198,"Medicalg","-4199.00","67.00","-0.20","-0.15","-3100.00","health and life sciences",0,"middle"
199,"Medinice","-1083.00","-2879.00","0.74","0.68","-1062.00","health and life sciences",0,"high"
200,"Megaron","443.00","-493.00","0.05","0.03","1325.00","real estate and construction",0,"middle"
201,"Mennica Polska","75816.00","64471.00","10.70","4.90","90717.00","manufacturing industry",1,"high"
202,"Mercator","29811.00","1989.00","0.08","0.07","5382.00","health and life sciences",0,"high"
203,"Mercor","16148.00","4299.00","0.07","0.04","39122.00","real estate and construction",1,"middle"
204,"MEXPolska","-1004.43","-159.46","0.07","0.02","2240.57","hospitality industry",0,"middle"
205,"MFO","3481.00","-13343.00","0.02","0.01","8412.00","real estate and construction",0,"middle"
206,"Miraculum","-165.62","-100.76","-0.60","-0.30","1072.05","chemicals and health products",1,"low"
207,"Mirbud","36120.00","-279379.00","3.20","1.40","71818.00","real estate and construction",1,"middle"
208,"MLSystem","-17353.00","-2385.00","-0.38","-0.13","-7967.00","energy technology",0,"low"
209,"MLP Group","79165.00","-387228.00","2.80","1.20","167124.00","real estate and construction",1,"middle"
210,"Mobruk","26395.24","-3805.94","11.70","5.40","51958.99","energy technology",1,"middle"
211,"MOJ","1099.00","1270.00","0.08","0.04","1868.00","manufacturing industry",0,"high"
212,"MOL","190419000.00","-65962000.00","4.60","3.10","533909000.00","chemicals and health products",1,"high"
213,"Molecure","-5184.73","22469.49","-0.32","-0.29","-4770.91","health and life sciences",0,"low"
214,"Monnari","1108.00","-26600.00","0.07","0.06","3954.00","consumer goods and e-commerce",0,"low"
215,"Mostostal Płock","1039.00","-3202.00","5.40","1.10","3279.00","real estate and construction",1,"low"
216,"Mostostal Warszawa","423.00","-102735.00","-0.27","-0.02","23161.00","real estate and construction",0,"low"
217,"Mostostal Zabrze","9185.00","-30309.00","0.17","0.08","16758.00","real estate and construction",0,"high"
218,"Movie Games","-2976.00","-1579.00","-0.05","-0.04","2385.00","technology and engineering",0,"low"
219,"Murapol","68605.00","-17168.00","0.40","0.11","86438.00","real estate and construction",0,"high"
220,"Muza","41.00","-445.00","0.08","0.05","1458.00","communication technologies and media",0,"low"
221,"NanoGroup","-1807.00","-3227.00","-0.56","-0.36","-1895.00","health and life sciences",0,"low"
222,"Neptis","1862.15","3422.62","48.20","6.90","2577.74","technology and engineering",1,"middle"
223,"Neuca","68214.00","23041.00","6.50","1.20","185143.00","chemicals and health products",1,"middle"
224,"NTCapital","-97.04","183.14","0.10","0.07","-97.04","financial and insurance",0,"middle"
225,"Newag","52297.00","-18472.00","0.19","0.09","81179.00","transport and motorization",0,"high"
226,"Nexity","-94.09","1.89",NULL,"-1.92","-67.39","commercial services",0,"middle"
227,"Noctiluca","-1401.19","2686.35",NULL,"-1.37","-1222.50","technology and engineering",0,"low"
228,"Novavis","-765.00","471.00","-0.62","-0.13","-938.00","energy technology",0,"low"
229,"Novita","4827.00","-2376.00","0.18","0.13","6989.00","commercial services",0,"high"
230,"NPL","312.61","-873.27","-0.03","-0.01","-41.90","real estate and construction",0,"low"
231,"NTTSystem","5803.00","10205.00","0.10","0.05","6468.00","technology and engineering",0,"high"
232,"Octava","-2890.00","79.00","-0.22","-0.14","-2527.00","real estate and construction",0,"low"
233,"Odlewanie Polskie","3731.00","7870.00","0.08","0.06","7552.00","manufacturing industry",0,"high"
234,"Onde","-5621.00","-57331.00","0.02","0.01","-1171.00","energy technology",0,"low"
235,"Onesano","-2121.00","-3186.00","-28.00","-18.70","-1961.00","health and life sciences",1,"low"
236,"Oponeo.pl","23974.00","-8349.00","10.90","2.21","55744.00","consumer goods and e-commerce",1,"middle"
237,"Opteam","-2904.96","-2895.05","-0.29","-0.19","-1482.95","technology and engineering",0,"low"
238,"Orange Polska","465000.00","103000.00","3.50","1.70","2043000.00","communication technologies and media",1,"high"
239,"Orlen","5846000.00","14633000.00","4.00","2.20","17008000.00","chemicals and health products",1,"high"
240,"Orzeł Biały","27178.00","-26832.00","0.16","0.14","26405.00","energy technology",0,"high"
241,"OT Logistics","-10857.00","446.00","-0.12","-0.03","6580.00","transport and motorization",0,"low"
242,"Panova","6521.00","-3873.00","0.05","0.03","12779.00","real estate and construction",0,"high"
243,"Pamapol","-8376.00","-4279.00","-0.12","-0.03","3251.00","agriculture and food industry",0,"low"
244,"Passus","-555.00","-1598.00","0.80","0.28","-203.00","technology and engineering",0,"middle"
245,"Patentus","13544.00","-2513.00","8.00","6.40","16277.00","manufacturing industry",1,"middle"
246,"PBG","-80478.00","-585.00",NULL,"-8.62","-69044.00","real estate and construction",0,"low"
247,"PBS","-121.00","282.00","-0.05","-0.03","-136.00","financial and insurance",0,"low"
248,"PCC Exol","20801.00","-13239.00","4.20","2.10","43291.00","chemicals and health products",1,"low"
249,"PCC Rokita","8233.00","-76036.00","0.63","0.35","117637.00","chemicals and health products",1,"low"
250,"PCF Group","-3749.00","-24110.00","-0.52","-0.40","1680.00","technology and engineering",0,"low"
251,"Pepco","-151447.00","-30350.00","-46.70","-4.30","452106.00","consumer goods and e-commerce",1,"low"
252,"PGE","2416000.00","1252000.00","-0.03","-0.01","4310000.00","energy technology",0,"middle"
253,"Pharmenia","-1189.00","-1536.00","-10.60","-9.80","-1481.00","chemicals and health products",1,"low"
254,"Photon Energy","-6942.00","-4560.00","-12.00","-2.60","3877.00","energy technology",1,"low"
255,"PJP Makrum","2656.00","-9430.00","1.62","0.65","11051.00","real estate and construction",1,"low"
256,"PKP Cargo","-48600.00","-29500.00","-1.22","-0.32","74700.00","transport and motorization",0,"low"
257,"Playway","31230.00","11738.00","0.41","0.35","43668.00","technology and engineering",0,"high"
258,"Plaza","-3492.00","-366.00",NULL,NULL,"9.00","real estate and construction",1,"low"
259,"PolEnergia","-39809.00","-221771.00","-0.90","-0.50","220636.00","energy technology",1,"low"
260,"Polimex","76894.00","50207.00","11.50","2.70","129420.00","real estate and construction",1,"high"
261,"PHN","185600.00","164800.00","0.01","0.01","104000.00","real estate and construction",0,"middle"
262,"Poltreg","-5471.00","-4958.00","-0.28","-0.19","-4280.00","health and life sciences",0,"low"
263,"Polwax","-3949.00","-28186.00","-0.41","-0.18","-3311.00","chemicals and health products",0,"low"
264,"PKO BP","5130000.00","1481000.00","9.90","0.94","8344000.00","financial and insurance",1,"high"
265,"PZU","3230000.00","8018000.00","10.11","0.62","10188000.00","financial and insurance",1,"high"
266,"Pekabex","2171.00","-54877.00","0.06","0.02","13370.00","real estate and construction",0,"high"
267,"Prochem","-5738.00","-3211.00","-0.57","-0.22","-2648.00","real estate and construction",0,"low"
268,"Protektor","-681.00","-108.00","-0.40","-0.15","1579.00","consumer goods and e-commerce",0,"low"
269,"Pepees","564.00","-21133.00","-0.06","-0.03","6252.00","agriculture and food industry",0,"low"
270,"Pure","-1338.00","-87.00",NULL,"-1.70","-746.00","health and life sciences",0,"middle"
271,"PZ Cormay","580.00","-1432.00","-0.09","-0.05","1476.00","chemicals and health products",0,"middle"
272,"QNA Technology","-2386.04","8639.85","-1.17","-0.77","-2311.64","technology and engineering",0,"low"
273,"Quantum","750.00","-1304.00","0.31","0.21","1212.00","technology and engineering",0,"middle"
274,"Quercus","21870.00","13302.00","28.00","11.50","26880.00","financial and insurance",1,"middle"
275,"Raen","-753.00","-32.00","-0.81","-0.45","-952.00","energy technology",0,"low"
276,"Rainbow","59525.00","22407.00","0.75","0.24","75636.00","hospitality industry",0,"high"
277,"Rank","-5476.00","-1607.00","-0.04","-0.02","-6147.00","real estate and construction",0,"low"
278,"Rawlplug","-4280.00","-3761.00","-0.66","0.28","51930.00","manufacturing industry",1,"low"
279,"Redan","-142.00","-87.00",NULL,NULL,"-168.00","consumer goods and e-commerce",0,"low"
280,"Reino","38.71","-243.14","-0.38","-0.21","538.94","financial and insurance",0,"low"
281,"Relpol","-2353.00","-353.00","-2.50","-1.80","665.00","manufacturing industry",1,"low"
282,"Remak","688.00","1414.00","0.91","0.40","3846.00","real estate and construction",1,"low"
283,"Render","1475.58","2476.27","0.15","0.14","3500.80","technology and engineering",0,"high"
284,"RYVU","-25276.00","-8337.00","-0.70","-0.31","-25335.00","health and life sciences",0,"low"
285,"Sanok Rubber","19662.00","62543.00","3.60","1.50","71762.00","transport and motorization",1,"low"
286,"Santander Bank","2751594.00","-7477361.00","8.00","0.90","4761480.00","financial and insurance",1,"middle"
287,"Sanwil","1403.00","-7167.00","0.00","0.00","-88.00","consumer goods and e-commerce",0,"low"
288,"Satis","-60.00","-1.00",NULL,"-120.42","-91.00","technology and engineering",0,"low"
289,"Scope","-10999.00","-13310.00","0.63","0.51","-9987.00","health and life sciences",0,"middle"
290,"Seco Group","5542.00","-60373.00","0.09","0.04","13712.00","manufacturing industry",0,"high"
291,"Seko","2999.00","2894.00","3.20","2.30","6842.00","agriculture and food industry",1,"low"
292,"Selena FM","19565.00","5978.00","0.12","0.06","40234.00","real estate and construction",0,"high"
293,"Selvita","-986.00","-6985.00","-0.02","-0.01","14128.00","health and life sciences",0,"high"
294,"Serinus","-894.00","-483.00","-0.53","-0.14","-146.00","manufacturing industry",0,"low"
295,"Sfinks","-2019.00","-461.00",NULL,"-0.07","1667.00","hospitality industry",0,"low"
296,"Shoper","19103.00","-4516.00","28.70","12.90","34873.00","technology and engineering",1,"high"
297,"Silvair","171.00","67.00","-0.02","-0.01","716.00","technology and engineering",0,"low"
298,"Simfabric","841.00","1816.00","-0.03","-0.02","2907.00","technology and engineering",0,"middle"
299,"Skarbiec Holding","61701.00","466717.00","0.29","0.08","59624.00","financial and insurance",1,"low"
300,"Skyline","-148.00","-241.00","0.00","0.00","-314.00","financial and insurance",0,"low"
301,"Soho Development","-1127.00","1822.00","9.80","9.40","-1378.00","real estate and construction",1,"middle"
302,"Sonel","4195.00","13163.00","0.20","0.14","8451.00","manufacturing industry",0,"high"
303,"Sopharma D","70397.00","-1082.00","7.90","3.60","106147.00","chemicals and health products",1,"middle"
304,"Spyrosoft","16968.00","1082.00","12.40","6.30","29599.00","technology and engineering",1,"middle"
305,"Stalexport","48138.00","-12581.00","7.20","4.10","109775.00","transport and motorization",1,"middle"
306,"Stalprodukt","-24324.00","-141426.00","0.67","0.50","68860.00","manufacturing industry",1,"low"
307,"Stalprofit","3731.00","-9017.00","0.75","0.30","27595.00","manufacturing industry",1,"low"
308,"Starhedge","73.00","211.00","-0.31","-0.23","113.00","financial and insurance",0,"low"
309,"Sunex","-7241.46","592.00","-0.19","-0.06","-3815.95","manufacturing industry",0,"low"
310,"Sygnity","30634.00","18124.00","9.80","7.20","43760.00","technology and engineering",1,"high"
311,"Synektik","71272.24","-38948.84","37.30","17.80","122944.88","health and life sciences",1,"high"
312,"Synthaverse","-538.00","-757.00","0.06","0.03","3364.00","chemicals and health products",0,"high"
313,"TBULL","-629.96","4.43","-0.75","-0.47","-552.40","technology and engineering",0,"low"
314,"Talex","-922.00","-4696.00","1.90","1.05","905.00","technology and engineering",1,"low"
315,"Tarczyński","29304.00","229.00","0.17","0.06","65163.00","agriculture and food industry",0,"high"
316,"Tauron","1130000.00","1035000.00","0.07","0.03","2365000.00","energy technology",0,"high"
317,"TSGames","47442.93","-61813.72","24.90","14.10","60566.91","technology and engineering",1,"high"
318,"Tenderhut","287.00","-1278.00","-0.18","-0.12","700.00","technology and engineering",0,"low"
319,"Termo-rex","450.00","1691.00","0.07","0.06","336.00","chemicals and health products",0,"high"
320,"Tesgas","-5126.00","-12518.00","6.20","4.40","-3592.00","real estate and construction",1,"middle"
321,"Text","164418.00","-7156.00","1.25","0.75","201608.00","technology and engineering",1,"middle"
322,"Torpol","30529.00","105413.00","5.80","2.80","48207.00","real estate and construction",1,"high"
323,"Tower","719.74","-120.25","-4.02","-0.78","-141.41","real estate and construction",0,"low"
324,"Toya","49479.00","51215.00","9.60","6.81","72633.00","communication technologies and media",1,"middle"
325,"Trakcja","-9815.00","-20505.00","0.13","0.03","-4996.00","real estate and construction",0,"middle"
326,"Trans Polonia","897.00","-1016.00","0.03","0.02","5043.00","transport and motorization",0,"low"
327,"Triton","-782.00","3257.00","-0.07","-0.04","-135.00","real estate and construction",0,"low"
328,"Ulma","309.00","1038.00","0.04","0.04","15290.00","real estate and construction",0,"high"
329,"Ultimate Games","1638.00","612.00","0.11","0.10","2333.00","technology and engineering",0,"high"
330,"Unfold","-305.43","1105.58","-0.25","-0.25","-234.88","financial and insurance",0,"low"
331,"Unibep","350.65","-118530.01","0.20","0.02","51496.40","real estate and construction",1,"low"
332,"Unimot","-10139.00","-184862.00","0.10","0.03","41795.00","chemicals and health products",0,"middle"
333,"Urteste","-740.00","-1237.00","-0.12","-0.10","-753.00","health and life sciences",0,"high"
334,"Vercom","45098.00","-20593.00","11.80","8.06","61575.00","technology and engineering",1,"high"
335,"VIGO","-1713.00","-6492.00","-0.02","-0.02","3126.00","technology and engineering",0,"low"
336,"Vivid","99.14","-107.49","-0.08","-0.03","679.97","technology and engineering",0,"low"
337,"Votum","43555.00","44275.00","0.45","0.25","51257.00","financial and insurance",0,"high"
338,"Voxel","46143.00","-44896.60","12.90","7.40","89215.80","health and life sciences",1,"low"
339,"Warimpex","-3032.00","103.00","-4.30","-1.30","621.00","real estate and construction",1,"low"
340,"Wasko","483.00","-14063.00","0.03","0.02","3660.00","technology and engineering",0,"low"
341,"Wawel","27519.00","-47469.00","3.70","3.21","40842.00","agriculture and food industry",1,"low"
342,"Wielton","-52335.00","-8227.00","-0.34","-0.09","-16595.00","transport and motorization",0,"low"
343,"Wikana","824.00","-1081.00","0.28","0.15","1536.00","real estate and construction",0,"middle"
344,"Wirtualna","-1064.00","367711.00","-0.12","-0.02","171468.00","communication technologies and media",1,"low"
345,"Wittchen","4217.00","-8011.00","0.18","0.10","11838.00","consumer goods and e-commerce",0,"high"
346,"Woodpecker","-305.00","-564.00","-0.03","-0.02","670.00","technology and engineering",0,"low"
347,"X-plus","1690.00","7678.00","0.42","0.20","3372.00","technology and engineering",0,"high"
348,"XTB","410071.00","41482.00","23.30","5.60","564007.00","financial and insurance",1,"middle"
349,"XTPL","-7257.00","-7457.00","-0.79","-0.49","-5877.00","technology and engineering",0,"low"
350,"YARRL","1252.00","1133.00","0.12","0.08","1445.00","technology and engineering",0,"high"
351,"Zabka","89231.00","815843.00","5.80","0.50","1546635.00","consumer goods and e-commerce",1,"high"
352,"Zremb-Chojnice","2517.00","340.70","0.42","0.23","1136.45","manufacturing industry",0,"high"
353,"Zamet","-1419.00","34035.00","0.09","0.07","-3312.00","manufacturing industry",0,"middle"
354,"Zepak","-13801.00","-94176.00","0.12","0.07","-1811.00","energy technology",0,"middle"
355,"ZUE","5634.00","-41220.00","2.70","0.83","18077.00","real estate and construction",1,"low"
356,"Efekt","2864.00","3042.00","2.30","1.41","7759.00","commercial services",1,"low"
357,"Vindexus","5908.00","9001.00","0.09","0.06","9348.00","real estate and construction",0,"high"
358,"Enelmed","6153.00","9868.00","0.11","0.04","25879.00","health and life sciences",0,"high"
359,"Orcogroup","55892.00","-64016.00","3.70","0.85","26849.00","real estate and construction",1,"middle"
360,"Rafamet","-4906.00","-1319.00","-1.02","-0.28","-2266.00","manufacturing industry",0,"low"
361,"Immobile","-4040.00","-11068.00","-0.32","-0.07","15396.00","financial and insurance",0,"low"
362,"Bogdanka","264228.00","-381064.00","8.90","6.50","408462.00","manufacturing industry",1,"high"
363,"Hydrotor","-1461.00","158.00","-0.11","-0.07","1645.00","manufacturing industry",0,"low"
364,"Kompap","479.00","4840.00","0.68","0.42","5001.00","manufacturing industry",1,"low"
365,"FMG","3312.00","3435.00","0.10","0.05","4126.00","financial and insurance",0,"high"
366,"IBSM","1130.00","-79.00","0.03","0.01","715.00","real estate and construction",0,"middle"
367,"Ropczyce","2211.00","11659.00","0.56","0.38","16135.00","real estate and construction",1,"low"
368,"Otmuchów","6240.00","-6986.00","0.06","0.03","11283.00","agriculture and food industry",0,"middle"
369,"Stąporków","714.00","-743.00","0.15","0.08","1234.00","manufacturing industry",0,"middle"
370,"Kogenera","184530.00","-7722.00","6.00","3.60","296779.00","energy technology",1,"high"
